Method,Description,Instance Variables,Class Methods,Other Methods,Line count
Door(),"door constructor that initilizes and set default values.
",,"genMemory()
setDefault()
randomGenDoor()
",,3
genMemory(),"allocates memory for instance
variables","exit
die20
spaces
",,,3
setDefault(),sets defualt values for door,"trapped
open
archway
locked
location
direction
",,"exit.getLocation()
exit.getDirection()
",6
"setTrapped(final  flag, final ... roll)"," if no roll is given trap is randomly generated.
","trapped
",,,7
"setTrap(final  flag, final ... roll)","sets trap value, if no roll is given
random roll is due
","trap
",,"trap.chooseTrap()
",4
setOpen(final  flag),"sets the door open to
flag
","open
locked
",,,5
setArchway(final  flag),"sets the door archway to flag
","archway
locked
","setOpen
setTrapped
",,4
isTrapped(),"returns if the door is trapped
","trapped
",,,1
isOpen(),"returns if the door is open
","open
",,,1
isArchway(),"returns if the door is archway
","archway
",,,1
getTrapDescription(),"returns description of trap
","trap
",,"trap.getDescription()
",3
ArrayList<Space> getSpaces(),"returns arrayList of spaces
door connects
","spaces
",,,1
setOneSpace(final Space s),"adds a new space for the door
connects to
","spaces
",,"spaces.add
s.setDoor
",3
"setSpaces(final Space spaceOne, final Space spaceTwo)","adds two new spaces for the
door to connect to
",,"setOneSpace
",,2
getDescription(),"returns description of door
",,,"desc.concat
",22
initDoorDescription(),"sets door instance variables
from keywords in description","
",,"desc.concat
",9
setDirection(final  dir),"sets direction of door
","direction
",,,1
setLocation(final  loc),"sets location of door
","location
",,,1
getIndex(),"returns index of door
","index
",,,1
randomGenDoor(),"
randomly generate door from table in A2.
","
locked
","randomNumber
setTrapped
setOpen
setArchway
",,13
"randomNumber(final  min, final  max)","generate random number between min-max.
","
",,"random.nextInt()
",2
setIndex(final  id),"sets the index of door
","index
",,,2
