Method,Description,Instance Variables,Class Methods,Other Methods,Line count
Passage(),"
constructor that initilizes 
passage.","thePassage
doorMap
doors
length
",,,4
getDoors(),"returns arrayList of doors
","doors
",,,1
addPassageSection(final PassageSection toAdd),"add passage section to passage
","length
",,"toAdd.setIndex
thePassage.add
toAdd.getDoor
",5
setDoor(final Door newDoor),"add door to latest passage 
section
","thePassage
","getLatestPassage
","doorMap.put
doors.add
",4
getDescription(),"returns description of passage
","thePassage
index
",,"desc.concat
",4
getDoorsDescription(),"returns description of doors
","doors
doorMap",,"doorMap.get(getDoors().get(getDoors().size() - 1)).getIndex()
",7
PassageSection getLatestPassage(),"returns most recent passage
section
","
thePassage
",,"thePassage.get
thePassage.size
",3
generatePassageSections(),"
generates the PassageSections for the passage.
","
","addPassageSection
",,6
getIndex(),"returns index of passage
","index
",,,1
setIndex(final  theIndex),"sets index of passage
","index
",,,1
generationExit(),"returns if passage has ended
",,"getLatestPassage
",getlatestPassage.isEnd(),3
randomDescriptionGen(),"using custom table, generates
description of passage
","
","generatePassageTable
","r.nextInt
table.get
",7
ArrayList<> generatePassageTable(),table for passage description,"
",,"passageTable.add
",5
